epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,554.197,0.9843,0.68725,1.0514,0.86277,0.77298,0.87613,0.67215,0.80832,0.54798,0.95185,0.00142,0.00142,0.00142
67,561.728,0.97242,0.67308,1.01894,0.8639,0.77135,0.87368,0.67215,0.80598,0.55977,0.95035,0.001288,0.001288,0.001288
68,568.857,0.91559,0.63457,1.00709,0.85263,0.77684,0.87218,0.67726,0.78097,0.55086,0.94022,0.001156,0.001156,0.001156
69,575.778,0.90877,0.63475,1.0126,0.8479,0.77769,0.87237,0.67951,0.77638,0.54021,0.93637,0.001024,0.001024,0.001024
70,582.822,0.91216,0.63448,1.00961,0.86205,0.77413,0.87468,0.68108,0.77685,0.53371,0.93638,0.000892,0.000892,0.000892
71,589.882,0.90473,0.62257,1.00157,0.8626,0.78577,0.88239,0.68875,0.76377,0.52338,0.92801,0.00076,0.00076,0.00076
72,597.003,0.88987,0.61361,0.98889,0.85685,0.79126,0.88482,0.69235,0.75606,0.52112,0.92634,0.000628,0.000628,0.000628
73,603.763,0.90087,0.62138,0.99681,0.86125,0.78603,0.88307,0.69212,0.75333,0.51997,0.92594,0.000496,0.000496,0.000496
74,610.529,0.89235,0.6188,1.00071,0.86081,0.78816,0.88475,0.69439,0.74535,0.51662,0.92366,0.000364,0.000364,0.000364
75,617.361,0.8872,0.60946,0.98707,0.86256,0.78646,0.88495,0.69658,0.73974,0.51577,0.92165,0.000232,0.000232,0.000232
